City,Age,Salary,Eligible for bonus
London,35,47612,Yes
NewYork,53,74700,No
Berlin,,117109,
Cairo,61,40084,No
Tokyo,49,,
Shanghai,43,37456,No
Shanghai,64,,
Istanbul,37,57936,Yes
LosAngeles,22,,
Chicago,30,60154,Yes
Mumbai,,61618,
Berlin,,83222,
Chicago,54,106034,No
London,57,,
Moscow,41,95483,No
Berlin,24,,
Mumbai,48,32414,No
Cairo,32,114470,Yes
Paris,41,46179,No
Sydney,37,106383,Yes
Chicago,66,91988,No
Chicago,39,80835,Yes
Shanghai,27,64243,Yes
HongKong,33,,
Sydney,,73292,
Istanbul,53,50900,No
Delhi,15,37888,No
Delhi,62,,
NewYork,23,82280,Yes
London,19,,
Shanghai,78,,
LosAngeles,,111556,
RioDeJaneiro,45,63980,No
NewYork,,57100,
Chicago,54,60372,No
Istanbul,58,43931,No
Singapore,29,40829,Yes
Tokyo,,85042,
Chicago,58,37224,No
Chicago,51,61061,No
Bangkok,17,76821,Yes
RioDeJaneiro,21,86512,Yes
Toronto,54,105853,No
Seoul,47,116235,No
Cairo,32,108038,Yes
Berlin,,,
Singapore,57,69811,No
Tokyo,66,37065,No
Bangkok,61,40667,No
Toronto,60,,
Moscow,,,
Toronto,31,77514,Yes
HongKong,31,99028,Yes
HongKong,20,114125,Yes
Paris,62,110539,No
Moscow,69,,
London,,34965,
Moscow,52,108816,No
Mumbai,41,,
NewYork,44,40981,No
Paris,65,36719,No
Chicago,67,93069,No
Toronto,24,,
Chicago,20,96149,Yes
Cairo,32,,
Delhi,68,34244,No
Singapore,60,85909,No
Moscow,62,72992,No
Seoul,57,59216,No
Toronto,24,31005,No
Paris,,41680,
Bangkok,,80807,
Delhi,51,65595,No
Sydney,48,112700,No
Seoul,23,80307,Yes
Mumbai,70,92504,No
Toronto,58,41733,No
NewYork,29,45852,Yes
Sydney,19,101062,Yes
Mumbai,66,96817,No
LosAngeles,51,73588,No
Cairo,19,86963,Yes
Chicago,49,46782,No
Singapore,22,106813,Yes
Mumbai,48,,
Singapore,67,30861,No
Berlin,46,117294,No
Berlin,29,93106,Yes
Bangkok,70,118547,No
Berlin,44,,
Moscow,24,73609,Yes
Berlin,40,51841,No
Seoul,44,,
Bangkok,,104696,
RioDeJaneiro,,55913,
Berlin,25,77408,Yes
Berlin,36,33685,No
Toronto,,77994,
NewYork,34,99302,Yes
RioDeJaneiro,68,71363,No
Toronto,33,102691,Yes
Sydney,27,49428,Yes
Mumbai,,62094,
Delhi,57,59797,No
Delhi,36,52409,Yes
Paris,35,80483,Yes
Mumbai,64,41996,No
Tokyo,61,77468,No
Seoul,,,
Paris,58,166689,No
RioDeJaneiro,41,61485,No
Seoul,36,43043,Yes
Singapore,67,,
Chicago,24,61331,Yes
Paris,,43453,
Berlin,63,,
Toronto,23,119470,Yes
Berlin,44,111172,No
Moscow,32,94018,Yes
Paris,68,31898,No
HongKong,46,33265,No
Singapore,23,61619,Yes
Delhi,35,,
Seoul,60,75265,No
London,57,,
NewYork,65,,
Toronto,61,,
Seoul,35,63182,Yes
Singapore,55,105351,No
Delhi,,58075,
Mumbai,30,99053,Yes
Berlin,21,39214,No
NewYork,48,,
LosAngeles,24,61195,Yes
Chicago,40,63769,No
Toronto,,,
Berlin,63,109045,No
NewYork,42,85235,No
Seoul,24,64880,Yes
Tokyo,52,86224,No
Delhi,46,42504,No
Delhi,33,58522,Yes
Istanbul,,,
Seoul,31,93915,Yes
Mumbai,,38948,
Paris,38,,
Paris,42,105870,No
Shanghai,69,,
LosAngeles,19,,
Moscow,40,68330,No
NewYork,59,58515,No
Istanbul,48,26719,No
LosAngeles,39,75703,Yes
London,50,79069,No
Delhi,,32271,
HongKong,24,91801,Yes
Bangkok,29,49594,Yes
HongKong,47,66838,No
NewYork,,119692,
Delhi,,78444,
Istanbul,63,47587,No
HongKong,41,98709,No
London,43,,
Mumbai,40,70100,No
Shanghai,66,122573,No
Seoul,,115699,
Delhi,67,102977,No
Paris,55,84184,No
HongKong,22,54894,Yes
NewYork,64,,
Istanbul,46,41175,No
Sydney,22,72527,Yes
Moscow,27,84503,Yes
Bangkok,51,62064,No
Paris,,97500,
Mumbai,69,31966,No
Paris,,,
RioDeJaneiro,,54816,
HongKong,,45061,
Shanghai,25,75037,Yes
Delhi,32,30707,No
Delhi,40,61261,No
Bangkok,33,40943,Yes
Sydney,23,,
Toronto,67,58217,No
LosAngeles,49,89488,No
RioDeJaneiro,31,56432,Yes
Istanbul,71,69427,No
Seoul,69,121231,No
Delhi,37,118716,Yes
Mumbai,49,67053,No
Moscow,35,96158,Yes
NewYork,30,83849,Yes
Berlin,,130436,
Berlin,32,53165,Yes
Sydney,47,77481,No
Istanbul,,,
Moscow,,70743,
Chicago,24,54290,Yes
LosAngeles,,49904,
Singapore,52,117596,No
Berlin,34,,
NewYork,35,59658,Yes
Toronto,60,92698,No
Delhi,53,69100,No
Bangkok,35,94897,Yes
Bangkok,23,,
LosAngeles,52,,
Sydney,68,62024,No
Sydney,54,48516,No
Singapore,57,111196,No
Delhi,34,59672,Yes
Seoul,26,89890,Yes
Singapore,31,44850,Yes
Sydney,50,39837,No
Delhi,55,35938,No
Delhi,26,118017,Yes
Berlin,49,,
Mumbai,35,54194,Yes
London,24,,
Berlin,29,,
LosAngeles,,40615,
London,53,38651,No
Toronto,29,80762,Yes
Cairo,25,118116,Yes
Bangkok,23,72025,Yes
Cairo,64,,
Sydney,16,79915,Yes
Moscow,43,103169,No
Singapore,44,93511,No
Istanbul,62,110852,No
Singapore,38,43808,Yes
Tokyo,70,,
Istanbul,67,96730,No
Istanbul,,34808,
Tokyo,,83507,
RioDeJaneiro,36,,
London,55,39121,No
Seoul,,40495,
Moscow,20,68878,Yes
Moscow,57,93132,No
Cairo,70,93626,No
Chicago,,106643,
Delhi,26,87005,Yes
Sydney,55,33945,No
HongKong,45,,
Istanbul,31,103623,Yes
Moscow,62,117903,No
Cairo,29,88140,Yes
Moscow,27,88901,Yes
Moscow,42,52271,No
Toronto,48,94955,No
Shanghai,61,54735,No
RioDeJaneiro,,93490,
Cairo,,48610,
NewYork,33,116494,Yes
NewYork,51,33943,No
Chicago,40,,
Sydney,32,,
Moscow,49,,
Berlin,53,,
NewYork,28,52743,Yes
Singapore,32,32499,No
Tokyo,33,109112,Yes
Mumbai,34,106155,Yes
RioDeJaneiro,58,,
HongKong,60,70365,No
RioDeJaneiro,52,77796,No
Mumbai,34,87763,Yes
Delhi,30,43209,Yes
Shanghai,34,112579,Yes
London,54,86649,No
Paris,32,46076,Yes
Shanghai,57,,
London,,101337,
Toronto,,,
Toronto,,114056,
Toronto,20,,
RioDeJaneiro,47,,
Singapore,20,101962,Yes
Cairo,,,
LosAngeles,46,83096,No
Sydney,16,,
Cairo,47,,
RioDeJaneiro,22,,
Tokyo,66,68137,No
Delhi,70,65335,No
Singapore,49,107466,No
Singapore,49,,
Bangkok,23,105168,Yes
Tokyo,61,47429,No
Cairo,37,,
Delhi,32,69597,Yes
Singapore,,38077,
Tokyo,67,50143,No
Sydney,33,,
HongKong,44,33686,No
Moscow,53,118767,No
Istanbul,45,38017,No
Toronto,,,
Shanghai,57,72311,No
HongKong,37,45957,Yes
Istanbul,18,155511,Yes
Tokyo,52,,
HongKong,,45485,
LosAngeles,19,125356,Yes
Mumbai,50,117886,No
Toronto,69,109957,No
Bangkok,41,156285,No
Toronto,,83533,
Chicago,,60817,
Moscow,,48917,
Paris,30,63783,Yes
Istanbul,60,66639,No
NewYork,43,56596,No
Seoul,,48797,
Moscow,28,,
Bangkok,50,136262,No
Singapore,40,74233,No
HongKong,35,100221,Yes
Cairo,40,104275,No
Tokyo,63,,
Seoul,27,92926,Yes
Singapore,70,58927,No
HongKong,,47603,
Shanghai,78,,
Mumbai,23,54333,Yes
Berlin,,114193,
London,,85334,
HongKong,,,
HongKong,34,71946,Yes
Seoul,48,59321,No
Mumbai,17,65093,Yes
LosAngeles,,85260,
Singapore,67,115012,No
Cairo,25,112838,Yes
Delhi,,49947,
RioDeJaneiro,40,84659,No
Cairo,64,,
Istanbul,43,43030,No
HongKong,54,69126,No
Paris,55,103332,No
Cairo,59,74039,No
Paris,33,34375,No
Moscow,67,50697,No
Seoul,63,50705,No
NewYork,,145489,
Istanbul,,73554,
Sydney,,64876,
Sydney,67,97910,No
NewYork,24,,
Istanbul,,,
Sydney,,37241,
Cairo,,31083,
Bangkok,,,
Seoul,39,53144,Yes
Seoul,23,56534,Yes
RioDeJaneiro,61,91440,No
Bangkok,,31060,
RioDeJaneiro,28,99365,Yes
Delhi,41,49597,No
HongKong,36,,
Paris,49,,
Moscow,60,97999,No
Berlin,,79897,
Seoul,16,,
Bangkok,42,47221,No
Seoul,,123131,
Toronto,18,,
Mumbai,42,39053,No
Moscow,57,53304,No
Cairo,,,
Istanbul,,47015,
Sydney,,82341,
HongKong,54,104425,No
Paris,,,
Shanghai,28,113830,Yes
Delhi,56,,
Moscow,40,,
Delhi,,,
Singapore,20,100127,Yes
Moscow,,58809,
Seoul,69,30704,No
Delhi,24,,
Cairo,54,93927,No
Toronto,40,,
Mumbai,24,35557,No
Moscow,72,36480,No
Toronto,32,,
Paris,58,92815,No
LosAngeles,47,36283,No
Sydney,20,94590,Yes
Chicago,37,48923,Yes
Moscow,45,66261,No
Paris,,41091,
Paris,31,51509,Yes
Mumbai,,,
Shanghai,23,41157,Yes
NewYork,,38124,
LosAngeles,18,32968,No
Sydney,51,,
Mumbai,50,119083,No
Seoul,18,,
HongKong,22,63988,Yes
Sydney,,122615,
Berlin,57,33079,No
Berlin,61,71411,No
Berlin,34,,
Moscow,22,43674,Yes
Seoul,21,,
Paris,32,35583,No
Delhi,41,71090,No
Mumbai,,82834,
Chicago,41,30906,No
Sydney,63,105455,No
Paris,23,105707,Yes
Delhi,27,34015,No
Sydney,54,54038,No
Seoul,64,,
Delhi,,43527,
Bangkok,27,43293,Yes
Shanghai,50,96170,No
Istanbul,50,71827,No
Mumbai,42,68646,No
Berlin,40,62941,No
London,65,,
Seoul,35,64471,Yes
Tokyo,45,105268,No
Sydney,42,38011,No
Istanbul,26,59449,Yes
Istanbul,,69450,
Delhi,69,73310,No
Delhi,28,51460,Yes
Bangkok,,,
Singapore,32,,
Delhi,,97476,
Mumbai,49,42100,No
Singapore,70,54186,No
NewYork,18,101920,Yes
Cairo,,104458,
RioDeJaneiro,38,38569,No
LosAngeles,33,46351,Yes
NewYork,33,,
Toronto,31,60388,Yes
HongKong,59,112844,No
Delhi,30,50836,Yes
Cairo,,43571,
RioDeJaneiro,,90840,
London,29,115076,Yes
Istanbul,28,,
Berlin,28,95616,Yes
RioDeJaneiro,,,
Cairo,23,,
NewYork,,61672,
Istanbul,32,106300,Yes
Seoul,32,,
Mumbai,24,62971,Yes
London,51,103418,No
Chicago,32,93942,Yes
Moscow,41,87593,No
Paris,,82321,
Mumbai,,86944,
HongKong,61,81519,No
HongKong,42,42016,No
NewYork,51,,
Moscow,29,58500,Yes
Seoul,,36455,
Chicago,73,69357,No
Paris,,31988,
Shanghai,21,119956,Yes
Singapore,,,
NewYork,21,76382,Yes
Delhi,,48447,
London,,,
Delhi,16,105854,Yes
Chicago,,21313,
LosAngeles,32,52274,Yes
Cairo,52,118769,No
Mumbai,17,,
NewYork,41,86392,No
Cairo,50,52941,No
Moscow,31,,
Cairo,24,,
Chicago,47,72118,No
HongKong,,,
RioDeJaneiro,23,100408,Yes
Chicago,62,,
Sydney,70,59941,No
Moscow,19,116699,Yes
Bangkok,22,109039,Yes
Paris,34,41732,Yes
NewYork,36,35369,No
Mumbai,31,85446,Yes
HongKong,52,,
Shanghai,49,117746,No
LosAngeles,,,
Moscow,41,84961,No
Cairo,34,,
Paris,,,
Seoul,66,,
Chicago,57,39880,No
Cairo,47,53136,No
Bangkok,59,110171,No
RioDeJaneiro,53,75489,No
Bangkok,,,
NewYork,24,114873,Yes
Singapore,33,51406,Yes
Bangkok,67,68047,No
NewYork,,100417,
Seoul,27,116402,Yes
Chicago,16,99730,Yes
RioDeJaneiro,42,75332,No
Toronto,55,,
Chicago,19,55897,Yes
Bangkok,43,159800,No
Moscow,25,48511,Yes
London,70,83024,No
Moscow,,65240,
Seoul,52,,
Seoul,26,35346,No
Seoul,,118042,
Delhi,32,57875,Yes
Paris,16,97348,Yes
NewYork,19,74415,Yes
NewYork,89,56374,No
Sydney,31,72659,Yes
Singapore,63,102172,No
Cairo,,104306,
Tokyo,75,96474,No
Cairo,31,63732,Yes
Toronto,68,108238,No
Mumbai,,74505,
Paris,47,59059,No
Paris,51,57691,No
Tokyo,49,48254,No
Singapore,,74834,
Istanbul,50,94497,No
London,49,,
Sydney,53,55929,No
Istanbul,,63600,
RioDeJaneiro,16,92199,Yes
Moscow,35,46109,Yes
Chicago,39,,
NewYork,64,,
Moscow,24,62326,Yes
Sydney,33,56931,Yes
LosAngeles,43,64793,No
Tokyo,66,60520,No
Bangkok,35,,
Singapore,62,85826,No
Sydney,65,72787,No
Mumbai,52,90148,No
Tokyo,45,,
Sydney,42,84797,No
HongKong,48,119226,No
Delhi,44,135685,No
Cairo,42,116402,No
Moscow,,94997,
Seoul,42,116188,No
London,54,95253,No
RioDeJaneiro,,56627,
Tokyo,37,74794,Yes
Moscow,51,115328,No
NewYork,,42908,
NewYork,57,,
Singapore,,,
Paris,37,104698,Yes
Paris,38,118966,Yes
Mumbai,69,149310,No
HongKong,70,,
HongKong,70,166976,No
Moscow,,,
Bangkok,66,97471,No
Cairo,28,45055,Yes
Tokyo,,102644,
Delhi,41,110807,No
RioDeJaneiro,60,42917,No
Mumbai,67,65945,No
Sydney,24,55444,Yes
LosAngeles,62,109401,No
LosAngeles,29,94208,Yes
Sydney,,,
Sydney,26,,
Singapore,59,,
Shanghai,44,91010,No
NewYork,68,111817,No
Tokyo,25,85988,Yes
Seoul,51,81550,No
Chicago,50,102726,No
HongKong,67,115254,No
Chicago,42,85128,No
Mumbai,41,84548,No
Shanghai,35,,
London,,31568,
Moscow,19,109861,Yes
Istanbul,20,,
Tokyo,50,41375,No
Singapore,33,,
Paris,62,137699,No
Chicago,47,86963,No
Sydney,66,33521,No
NewYork,,59086,
Sydney,,35921,
Toronto,64,77189,No
LosAngeles,,62154,
Shanghai,62,,
Paris,67,117703,No
Istanbul,,75948,
Delhi,56,63295,No
Istanbul,16,66047,Yes
Toronto,19,37576,No
Moscow,17,,
Shanghai,38,33042,No
Seoul,24,,
Istanbul,36,,
London,64,64292,No
HongKong,20,112547,Yes
LosAngeles,49,119550,No
Shanghai,45,,
Cairo,52,105893,No
Singapore,58,58735,No
Shanghai,,107171,
Toronto,29,,
London,66,48629,No
Seoul,,54147,
Cairo,36,37858,No
LosAngeles,,100757,
Shanghai,,59943,
Istanbul,30,,
Delhi,,,
Bangkok,16,71087,Yes
NewYork,35,36703,No
Cairo,,35896,
Bangkok,37,115096,Yes
London,,71601,
Istanbul,70,65247,No
Bangkok,19,57095,Yes
Chicago,,,
Sydney,34,53418,Yes
Seoul,59,42154,No
Mumbai,,40604,
NewYork,65,61350,No
RioDeJaneiro,55,106472,No
Cairo,63,67771,No
Moscow,24,63559,Yes
RioDeJaneiro,,,
Sydney,24,57231,Yes
LosAngeles,47,74850,No
Moscow,38,,
NewYork,24,,
Seoul,57,,
Bangkok,52,70311,No
Cairo,29,47026,Yes
Istanbul,68,68289,No
Seoul,,100514,
Bangkok,22,36718,No
Bangkok,42,45444,No
Istanbul,38,30798,No
NewYork,,,
Tokyo,24,96012,Yes
Delhi,42,,
Singapore,,65502,
Chicago,44,107802,No
Bangkok,29,119872,Yes
Sydney,47,113917,No
London,54,40615,No
Tokyo,62,59912,No
Toronto,48,33406,No
Istanbul,20,,
Seoul,,33211,
Istanbul,65,114696,No
Shanghai,31,57227,Yes
Singapore,39,90920,Yes
NewYork,38,117419,Yes
HongKong,53,,
RioDeJaneiro,23,80367,Yes
Paris,65,107051,No
Paris,30,118233,Yes
London,74,84931,No
Moscow,26,98117,Yes
Tokyo,33,72241,Yes
Mumbai,48,51319,No
Shanghai,17,115632,Yes
Cairo,62,,
Sydney,26,69193,Yes
Paris,48,92501,No
Moscow,65,65559,No
Seoul,50,84811,No
Chicago,11,117291,Yes
Bangkok,39,70530,Yes
Singapore,,24077,
Moscow,22,106759,Yes
Moscow,56,83949,No
Istanbul,,56217,
Moscow,51,44440,No
Paris,31,81293,Yes
LosAngeles,17,46045,Yes
LosAngeles,83,77327,No
LosAngeles,20,103069,Yes
London,31,45521,Yes
Bangkok,,,
Seoul,37,95652,Yes
Chicago,63,,
LosAngeles,34,102710,Yes
Shanghai,56,53571,No
Singapore,52,56590,No
Chicago,60,144906,No
Sydney,27,80612,Yes
Moscow,37,101502,Yes
Shanghai,,164826,
Istanbul,61,105722,No
Shanghai,,99760,
Berlin,19,,
London,,52389,
Berlin,,,
Istanbul,48,100713,No
Mumbai,32,50609,Yes
Berlin,58,38780,No
Bangkok,46,115643,No
Berlin,22,108185,Yes
Moscow,,67034,
Sydney,68,41431,No
Seoul,58,59944,No
Paris,69,64300,No
Singapore,74,107715,No
Tokyo,42,65737,No
LosAngeles,,77640,
NewYork,,85147,
Istanbul,50,,
Mumbai,47,84706,No
Mumbai,19,51328,Yes
Seoul,31,136062,Yes
Singapore,32,70015,Yes
Tokyo,39,116759,Yes
HongKong,70,51437,No
Bangkok,25,72771,Yes
Delhi,17,109871,Yes
Bangkok,60,,
NewYork,31,89615,Yes
Tokyo,47,48082,No
Sydney,66,37251,No
Bangkok,35,64334,Yes
LosAngeles,,60349,
HongKong,23,78884,Yes
Bangkok,22,59998,Yes
Singapore,,,
RioDeJaneiro,16,112181,Yes
LosAngeles,30,119832,Yes
Paris,,106128,
Istanbul,28,97577,Yes
Toronto,,41852,
London,52,54369,No
Berlin,67,63985,No
Mumbai,60,,
RioDeJaneiro,,41773,
Tokyo,35,80587,Yes
Tokyo,64,45201,No
LosAngeles,25,47756,Yes
Moscow,,68978,
Toronto,,95131,
Toronto,26,40128,Yes
Cairo,38,51449,Yes
RioDeJaneiro,26,95114,Yes
Mumbai,31,82239,Yes
HongKong,,110104,
Delhi,24,105660,Yes
London,45,90468,No
Singapore,67,73244,No
Tokyo,,68249,
Chicago,,35471,
Singapore,57,73351,No
London,55,50607,No
Sydney,63,111198,No
Toronto,50,108121,No
Shanghai,33,71713,Yes
Istanbul,26,79263,Yes
Moscow,48,92522,No
Seoul,29,,
Istanbul,75,59303,No
Toronto,31,74991,Yes
Sydney,43,169220,No
Delhi,50,105957,No
HongKong,33,106303,Yes
London,58,,
Istanbul,30,96564,Yes
Istanbul,26,,
HongKong,57,44634,No
Toronto,,73541,
Berlin,21,,
HongKong,30,,
Tokyo,,,
Tokyo,20,66042,Yes
Toronto,18,117853,Yes
RioDeJaneiro,33,87065,Yes
Delhi,38,,
Mumbai,61,53680,No
London,,,
Chicago,61,30980,No
Moscow,67,56400,No
Bangkok,38,39461,No
Tokyo,59,41153,No
Shanghai,64,35803,No
Berlin,,78764,
Tokyo,42,,
Mumbai,34,,
LosAngeles,68,48864,No
Singapore,31,52419,Yes
Chicago,25,69073,Yes
Seoul,47,,
NewYork,18,,
Mumbai,32,,
RioDeJaneiro,35,116418,Yes
London,65,31029,No
Mumbai,51,120199,No
Mumbai,42,56813,No
Seoul,35,68775,Yes
LosAngeles,58,60523,No
Bangkok,42,101107,No
HongKong,43,65200,No
Cairo,56,91165,No
Delhi,,151112,
HongKong,,50409,
Chicago,,84900,
Bangkok,18,72079,Yes
Toronto,69,,
Cairo,51,,
Bangkok,,90133,
NewYork,,,
Toronto,66,115557,No
Delhi,24,117909,Yes
Bangkok,21,95661,Yes
Berlin,41,41372,No
Istanbul,,34876,
Moscow,37,,
Istanbul,40,43110,No
Chicago,61,,
NewYork,,81914,
Mumbai,70,32227,No
Chicago,58,33303,No
Paris,31,116839,Yes
Bangkok,49,67879,No
Bangkok,,107858,
Chicago,66,96537,No
Tokyo,21,,
Sydney,55,36687,No
Seoul,16,109532,Yes
Delhi,,,
Toronto,,110292,
Cairo,,99143,
RioDeJaneiro,27,36889,No
HongKong,57,61672,No
Toronto,35,91728,Yes
Delhi,,41474,
Sydney,54,94658,No
Cairo,46,69332,No
Toronto,60,88230,No
Cairo,30,54826,Yes
Toronto,70,44138,No
Paris,53,74107,No
London,,79878,
Chicago,69,85850,No
Moscow,37,104748,Yes
Singapore,22,155864,Yes
Seoul,48,59046,No
Shanghai,,58889,
Berlin,43,46509,No
Chicago,64,34030,No
Bangkok,,76602,
Istanbul,,104681,
NewYork,,,
Toronto,,94881,
Chicago,60,81118,No
Sydney,,31924,
Shanghai,27,39098,No
Tokyo,65,117865,No
RioDeJaneiro,31,65244,Yes
Chicago,49,132547,No
Berlin,40,85342,No
Berlin,,85579,
Moscow,28,,
LosAngeles,,36982,
LosAngeles,28,77752,Yes
Singapore,54,41024,No
Berlin,58,78549,No
RioDeJaneiro,42,,
Istanbul,29,48673,Yes
Chicago,,67108,
Berlin,59,80047,No
Paris,20,92412,Yes
LosAngeles,23,,
Seoul,27,68375,Yes
London,68,73709,No
Shanghai,43,76861,No
Moscow,67,,
Mumbai,38,,
Istanbul,33,114986,Yes
RioDeJaneiro,52,98033,No
Sydney,68,37192,No
RioDeJaneiro,46,109483,No
Toronto,19,90684,Yes
Cairo,25,,
Berlin,40,,
Chicago,36,,
Seoul,37,49796,Yes
London,36,37715,No
London,,107255,
Tokyo,25,61170,Yes
London,22,85482,Yes
Chicago,44,76618,No
RioDeJaneiro,42,68337,No
LosAngeles,47,49960,No
Cairo,48,,
London,,81973,
London,31,58526,Yes
Delhi,43,89834,No
Mumbai,24,78522,Yes
Shanghai,68,101143,No
HongKong,48,,
Shanghai,,99452,
Toronto,39,59488,Yes
Bangkok,50,96290,No
Toronto,,38459,
London,52,,
NewYork,61,48903,No
Singapore,64,41662,No
London,27,86602,Yes
Mumbai,,80396,
LosAngeles,22,39599,No
Delhi,20,50739,Yes
Cairo,49,78890,No
Cairo,39,130821,Yes
Singapore,29,97053,Yes
Delhi,,108538,
Shanghai,41,35810,No
Seoul,68,,
Seoul,,,
Paris,55,80179,No
Seoul,46,,
RioDeJaneiro,30,31917,No
Shanghai,,102866,
Singapore,18,133003,Yes
Istanbul,,100019,
RioDeJaneiro,63,70099,No
Seoul,29,104590,Yes
RioDeJaneiro,,49376,
Delhi,,60387,
London,36,94028,Yes
HongKong,22,54279,Yes
Bangkok,59,52852,No
Bangkok,,,
Seoul,,112579,
Paris,28,91749,Yes
Bangkok,21,104637,Yes
Toronto,26,94570,Yes
RioDeJaneiro,58,99479,No
Tokyo,34,,
Singapore,35,79932,Yes
Cairo,,98082,
Seoul,,,
Istanbul,,64133,
Sydney,37,46703,Yes
Berlin,36,,
RioDeJaneiro,59,99886,No
Chicago,29,60309,Yes
Tokyo,22,,
Shanghai,32,69995,Yes
London,,102627,
Sydney,68,58036,No
NewYork,63,33200,No
Istanbul,63,65718,No
London,31,47444,Yes
Berlin,18,33169,No
Istanbul,44,,
Shanghai,,44787,
Singapore,,63070,
Chicago,26,79952,Yes
Mumbai,,86954,
Istanbul,55,55834,No
Delhi,18,,
London,35,111175,Yes
Delhi,67,97396,No
Toronto,27,,
Toronto,64,44654,No
London,17,72587,Yes
Istanbul,68,,
Moscow,62,39991,No
Singapore,,,
Sydney,23,51306,Yes
NewYork,,85919,
Paris,39,117472,Yes
Singapore,25,,
Delhi,60,53350,No
Toronto,,,
Seoul,,39078,
Cairo,26,,
Chicago,21,98919,Yes
LosAngeles,63,109122,No
Chicago,31,50455,Yes
Cairo,37,38854,No
Toronto,59,43351,No
Berlin,40,55608,No
LosAngeles,13,115411,Yes
Chicago,48,,
London,24,,
Shanghai,48,86631,No
Berlin,41,97520,No
Sydney,61,,
Bangkok,48,52338,No
HongKong,55,91482,No
Singapore,,92801,
Mumbai,44,59930,No
London,64,63588,No
Singapore,56,94862,No
Seoul,33,114343,Yes
NewYork,63,42419,No
Moscow,40,102201,No
RioDeJaneiro,47,100271,No
Moscow,66,67447,No
Mumbai,56,117356,No
Sydney,50,,
Seoul,50,59671,No
Istanbul,47,111866,No
Berlin,36,117013,Yes
Paris,,129699,
Mumbai,18,,
Berlin,40,117247,No
Bangkok,36,59542,Yes
Toronto,45,97121,No
Berlin,60,39110,No
Istanbul,60,,
Sydney,20,90160,Yes
Delhi,25,86900,Yes
Cairo,24,,
LosAngeles,25,102982,Yes
Sydney,20,100174,Yes
Chicago,49,125366,No
Sydney,50,74590,No
LosAngeles,56,118803,No
Shanghai,17,,
Istanbul,22,,
Sydney,16,80783,Yes
Moscow,27,,
Istanbul,33,72335,Yes
NewYork,22,,
Toronto,60,,
Singapore,,,
Chicago,56,83398,No
London,47,115475,No
Tokyo,,94822,
Berlin,,,
HongKong,25,93539,Yes
Bangkok,21,,
Delhi,26,39222,No
Berlin,69,50243,No
RioDeJaneiro,18,,
HongKong,38,68418,Yes
RioDeJaneiro,,,
LosAngeles,23,113178,Yes
Mumbai,27,55304,Yes
Moscow,,55848,
NewYork,44,45276,No
Delhi,54,68290,No
Istanbul,47,70249,No
Seoul,35,57645,Yes
RioDeJaneiro,26,70241,Yes
Seoul,,,
London,22,55327,Yes
NewYork,30,70676,Yes
Tokyo,57,78608,No
London,61,61383,No
Sydney,,,
Seoul,22,54268,Yes
Istanbul,48,55748,No
Toronto,,59137,
Seoul,,101020,
Moscow,53,43612,No
Berlin,42,,
NewYork,37,105840,Yes
LosAngeles,23,,
Moscow,,,
Singapore,,,
Seoul,70,93435,No
Sydney,44,57661,No
HongKong,38,112031,Yes
Paris,,46573,
Moscow,60,31323,No
Shanghai,62,39308,No
Paris,55,116380,No
Toronto,,52952,
Berlin,69,,
NewYork,69,70367,No
Tokyo,,,
Berlin,32,118535,Yes
Moscow,62,114548,No
Chicago,37,69758,Yes
Toronto,63,82244,No
Shanghai,,,
Chicago,38,,
Paris,65,71259,No
LosAngeles,60,38970,No
Sydney,55,86342,No
Cairo,17,,
LosAngeles,70,,
LosAngeles,,44403,
Delhi,30,126964,Yes
Istanbul,42,89488,No
Shanghai,39,68082,Yes
Berlin,,37053,
Moscow,35,93815,Yes
Toronto,47,,
LosAngeles,61,106777,No
Tokyo,29,61728,Yes
Istanbul,33,103433,Yes
Moscow,47,,
Berlin,42,39006,No
Shanghai,47,,
Seoul,56,,
NewYork,24,107375,Yes
Bangkok,53,77270,No
Bangkok,26,,
NewYork,62,66580,No
Chicago,19,103964,Yes
Bangkok,,83031,
Tokyo,70,62663,No
Seoul,68,39840,No
HongKong,56,109618,No
Tokyo,37,89546,Yes
Toronto,,106392,
RioDeJaneiro,55,68625,No
Sydney,,,
Seoul,65,60638,No
HongKong,70,,
Cairo,42,,
Istanbul,59,85136,No
Seoul,33,115996,Yes
RioDeJaneiro,39,,
Delhi,,85240,
Tokyo,24,99333,Yes
Bangkok,33,68071,Yes
Singapore,,110740,
Cairo,56,51214,No
Toronto,49,96169,No
LosAngeles,16,52627,Yes
NewYork,40,52530,No
Tokyo,28,63926,Yes
London,37,59470,Yes
Paris,56,36843,No
Berlin,29,82899,Yes
Sydney,47,40394,No
Chicago,59,,
Sydney,34,78143,Yes
Berlin,,57564,
NewYork,21,,
RioDeJaneiro,62,54261,No
Sydney,49,104903,No
Cairo,,107972,
Istanbul,19,45644,Yes
HongKong,17,99738,Yes
RioDeJaneiro,51,70289,No
Mumbai,28,42214,Yes
Toronto,,,
Paris,58,48933,No
Berlin,,67398,
London,61,,
Berlin,54,79082,No
Bangkok,69,95676,No
Cairo,,60092,
LosAngeles,40,72810,No
HongKong,19,68716,Yes
Sydney,37,71205,Yes
Chicago,47,100938,No
RioDeJaneiro,,42740,
Shanghai,44,59470,No
Toronto,,128109,
